timestamp_utc,timestamp_epoch,temp_f,temp_c,device_id
2/7/2021 0:05,      1612656337,   70  ,   21.1, 2.75309E+15
2/7/2021 0:02,      1612656170,   69.6,   20.9, 2.75309E+15
2/7/2021 0:04,      1612656268,   63.7,   17.6, 2.70718E+15
2/7/2021 0:00,      1612656050,   62.2,   16.8, 2.58228E+15
2/7/2021 0:05,      1612656335,   63.7,   17.6, 2.70718E+15
2/7/2021 0:06,      1612656393,   70.2,   21.2, 2.75309E+15
2/7/2021 0:03,      1612656205,   63.3,   17.4, 2.70718E+15
2/7/2021 0:07,      1612656438,   70.2,   21.2, 2.75309E+15
2/7/2021 0:02,      1612656125,   69.8,   21  , 2.75309E+15
2/7/2021 0:06,      1612656395,   63.9,   17.7, 2.70718E+15
2/7/2021 0:04,      1612656274,   62.8,   17.1, 2.58228E+15
2/7/2021 0:07,      1612656460,   63.9,   17.7, 2.70718E+15
2/7/2021 0:01,      1612656070,   63.3,   17.4, 2.70718E+15
2/7/2021 0:01,      1612656063,   63.3,   17.4, 2.70718E+15
2/7/2021 0:04,      1612656254,   62.6,   17  , 2.58228E+15
2/7/2021 0:01,      1612656096,   62.4,   16.9, 2.58228E+15
2/7/2021 0:06,      1612656396,   63.9,   17.7, 2.70718E+15
2/7/2021 0:02,      1612656154,   69.6,   20.9, 2.75309E+15
2/7/2021 0:04,      1612656245,   62.6,   17  , 2.58228E+15
2/7/2021 0:01,      1612656095,   62.4,   16.9, 2.58228E+15
2/7/2021 0:07,      1612656464,   64  ,   17.8, 2.70718E+15
2/7/2021 0:03,      1612656227,   62.4,   16.9, 2.58228E+15
2/7/2021 0:04,      1612656292,   62.8,   17.1, 2.58228E+15
2/7/2021 0:00,      1612656008,   69.8,   21  , 2.75309E+15
2/7/2021 0:06,      1612656398,   63.9,   17.7, 2.70718E+15
2/7/2021 0:03,      1612656221,   63.3,   17.4, 2.70718E+15
2/7/2021 0:02,      1612656141,   69.6,   20.9, 2.75309E+15
2/7/2021 0:07,      1612656428,   63  ,   17.2, 2.58228E+15
2/7/2021 0:00,      1612656053,   63.1,   17.3, 2.70718E+15
2/7/2021 0:03,      1612656220,   62.6,   17  , 2.58228E+15
2/7/2021 0:07,      1612656465,   70.2,   21.2, 2.75309E+15
2/7/2021 0:03,      1612656234,   69.8,   21  , 2.75309E+15
2/7/2021 0:05,      1612656348,   63.7,   17.6, 2.70718E+15
2/7/2021 0:00,      1612656004,   70  ,   21.1, 2.75309E+15
2/7/2021 0:04,      1612656297,   62.8,   17.1, 2.58228E+15
2/7/2021 0:06,      1612656386,   70.2,   21.2, 2.75309E+15
2/7/2021 0:07,      1612656477,   70.2,   21.2, 2.75309E+15
2/7/2021 0:07,      1612656451,   63.7,   17.6, 2.70718E+15
2/7/2021 0:05,      1612656302,   63.7,   17.6, 2.70718E+15
2/7/2021 0:07,      1612656443,   63.7,   17.6, 2.70718E+15
2/7/2021 0:07,      1612656459,   63.9,   17.7, 2.70718E+15
2/7/2021 0:00,      1612656041,   62.2,   16.8, 2.58228E+15
2/7/2021 0:05,      1612656330,   62.8,   17.1, 2.58228E+15
2/7/2021 0:06,      1612656367,   70.2,   21.2, 2.75309E+15
2/7/2021 0:02,      1612656144,   63.3,   17.4, 2.70718E+15
2/7/2021 0:04,      1612656267,   69.8,   21  , 2.75309E+15
2/7/2021 0:07,      1612656440,   63.9,   17.7, 2.70718E+15
2/7/2021 0:01,      1612656114,   62.4,   16.9, 2.58228E+15
2/7/2021 0:03,      1612656212,   62.6,   17  , 2.58228E+15
2/7/2021 0:07,      1612656469,   63  ,   17.2, 2.58228E+15
2/7/2021 0:07,      1612656452,   70.2,   21.2, 2.75309E+15
2/7/2021 0:01,      1612656078,   62.2,   16.8, 2.58228E+15
2/7/2021 0:02,      1612656132,   62.4,   16.9, 2.58228E+15
2/7/2021 0:01,      1612656103,   69.8,   21  , 2.75309E+15
2/7/2021 0:05,      1612656318,   62.8,   17.1, 2.58228E+15
2/7/2021 0:01,      1612656062,   62.2,   16.8, 2.58228E+15
